duration,chunk_size,window_size,hz,k,mcc
0,10,1,60,13.0,0.4186183258516087
60,60,1,10,1.0,0.6338303220375691
60,60,1,10,3.0,0.6338303220375691
60,60,1,10,5.0,0.6338303220375691
60,60,1,10,7.0,0.6338303220375691
60,60,1,10,9.0,0.6338303220375691
60,60,1,10,11.0,0.6338303220375691
60,60,1,10,13.0,0.6338303220375691
0,30,1,60,1.0,0.5238142879060521
0,30,1,60,3.0,0.5719571523311833
0,30,1,60,5.0,0.5847966919574741
0,30,1,60,7.0,0.5872097184641554
0,30,1,60,9.0,0.592011376807372
0,30,1,60,11.0,0.5922784920368147
0,30,1,60,13.0,0.5954868493519266
300,5,1,20,1.0,0.2353882270932075
300,5,1,20,3.0,0.3131986225643607
300,5,1,20,5.0,0.3359042085691691
300,5,1,20,7.0,0.3503998511107956
300,5,1,20,9.0,0.3626004473488654
300,5,1,20,11.0,0.3702149644203055
300,5,1,20,13.0,0.3789726435763796
600,10,50,20,1.0,0.2616742454092282
600,10,50,20,3.0,0.3770898968295628
600,10,50,20,5.0,0.4111199649368438
600,10,50,20,7.0,0.4274639128875759
600,10,50,20,9.0,0.4416480969489029
600,10,50,20,11.0,0.4534838560077144
600,10,50,20,13.0,0.4626920381011316
300,20,1,60,1.0,0.4436926547367812
300,20,1,60,3.0,0.4370466358508422
300,20,1,60,5.0,0.4456373749436278
300,20,1,60,7.0,0.4351373298983359
300,20,1,60,9.0,0.4399103739825308
300,20,1,60,11.0,0.4418194232676418
300,20,1,60,13.0,0.4418194232676418
300,60,100,40,1.0,0.5784200050517448
300,60,100,40,3.0,0.5597002522317447
300,60,100,40,5.0,0.5974786652239478
300,60,100,40,7.0,0.6086503901090349
300,60,100,40,9.0,0.6440634744177307
300,60,100,40,11.0,0.6440634744177307
300,60,100,40,13.0,0.6440634744177307
900,30,100,20,1.0,0.3792801173863148
900,30,100,20,3.0,0.4385150742800503
900,30,100,20,5.0,0.4480053031494339
900,30,100,20,7.0,0.4543642037984021
900,30,100,20,9.0,0.4614406162529686
900,30,100,20,11.0,0.4624557365014703
900,30,100,20,13.0,0.4689096933538744
900,10,150,60,1.0,0.1598553605912571
900,10,150,60,3.0,0.3058426859093835
900,10,150,60,5.0,0.3307305782571976
900,10,150,60,7.0,0.3537985214362067
900,10,150,60,9.0,0.3581178322322395
900,10,150,60,11.0,0.3581178322322395
900,10,150,60,13.0,0.3581178322322395
600,20,10,60,1.0,0.3550012292101728
