trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
20,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.06974916120139683,14.261609883980881,35.04338589834559,True,interpolate,1.1478712531521094,1.1209985136816676,16.7,1,1,2.258255317537423,0.281708645088354,0.14628948425583094,0.2758791312839115,0.9869527961468634,0.16437185575822405,14535,192,13859,74152,102739,88688,14051,0.2832916330585659,0.15144089025603316,0.2748747143891924,0.992645788761142,0.1652566530522069,34246,254,31479,173039,239019,207286,31733,5,0.0131206721042936,0.019526753359677993,0.030467904917101895,0.007037892082043445,0.008962476969422777,0.009269218833168424,0.007216831778117525,0.01114575957167425,0.0012778437205508471,0.006321841382847459,0.16490016308902083
21,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.08191650226115371,14.634069506534416,27.121305012893167,True,interpolate,0.12251208289689314,6.982914606723291,16.7,1,1,1.9658398723378672,0.3838122535356695,0.180172887289017,0.33875701759743215,0.9848067170093362,0.23837002431744364,21122,324,13726,67565,102739,88688,14051,0.38397279576871846,0.18818504035551414,0.3375749487465474,0.992153862214197,0.2381112028363704,49355,389,31344,157930,239019,207286,31733,5,0.007527638000618888,0.018942516992835112,0.02171346749774039,0.009522483284296956,0.005467050759913318,0.011589557823798106,0.0065871550329288245,0.00686341678916922,0.0009760164098838318,0.008868122306135361,0.14135622519426264
22,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.07394180517791436,13.992609427069143,34.06457656702567,True,interpolate,1.1343676201838628,7.746996694937609,16.7,1,1,2.3076144613459997,0.3006694204660835,0.15313664213754005,0.2871080875470394,0.9873980098426284,0.1774517131920574,15684,200,13850,73003,102739,88688,14051,0.3037129576212079,0.15990955197547774,0.28706856169303546,0.9934790371468901,0.17928569600287583,37162,246,31487,170123,239019,207286,31733,5,0.01601693502202802,0.020260460180344917,0.029724108136756456,0.006696213119715511,0.011204756535830836,0.00816742421811469,0.007449883105547603,0.0114636164303541,0.002342810522191025,0.005718437288886566,0.20983459598781845
23,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.09595363499375231,14.944663519041898,34.896233717141044,True,interpolate,1.148069550876,7.451033417704627,16.7,1,1,0.9833586838441407,0.8455404204913499,0.3162218487955494,0.7572631897088219,0.9366765137328432,0.7750276289328943,68639,4875,9175,20048,102739,88688,14051,0.8607406327614763,0.4610905796031344,0.7844033439675998,0.9713331348949445,0.774390684969287,160681,4793,26940,46604,239019,207286,31733,5,0.020863703031623576,0.11299693212834934,0.019947030561690546,0.0417638851072141,0.05464023044103573,0.030336709598905436,0.03371850283848554,0.03959624370849274,0.004782671421276392,0.05008238546196534,0.4728829446551702
24,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.1343917385268727,14.253444938005115,34.87905737468645,True,interpolate,0.13966789147709358,1.1809395371499223,16.7,1,1,2.056212751201206,0.8809262074181003,0.5036775161315941,0.8125655227840655,0.9746760798402156,0.8037719940817025,71276,1865,12186,17412,102739,88688,14051,0.8896144171410338,0.5223141685079102,0.8242475972023996,0.9764686856659605,0.8169763132482082,169327,4079,27654,37959,239019,207286,31733,5,0.009271901972381648,0.04708706706663667,0.011579720424187307,0.008460145126033752,0.014335574929136338,0.005287833196071386,0.015141057186338293,0.006289550720702642,0.002366338222822864,0.007881361160173551,0.03795466824855031
25,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.10045214462953425,13.882669201617833,34.75560932186447,True,interpolate,0.10461153211058888,1.0064955159382665,16.7,1,1,2.005330728657124,0.8565222052685544,0.46527263355848614,0.7792051246148561,0.9750448698706592,0.7639630196246932,67721,1752,12298,20966,102739,88688,14051,0.8658561708909172,0.4747017419310365,0.7907791943652673,0.9747088961418452,0.7789042037733418,161451,4194,27539,45834,239019,207286,31733,5,0.011731485469196815,0.04729386564585263,0.015205179056518175,0.010134064449215142,0.018725549488119237,0.005955559767694747,0.016620985004447385,0.006694644089791763,0.0027580525116946276,0.008426168856917236,0.04717430041789276
26,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.07033414890749187,14.36720174157427,35.57086565626345,True,interpolate,1.208640850261218,7.2545288626140465,16.7,1,1,2.304869235748613,0.2827636598796849,0.1468320173279531,0.27652151779088696,0.9871821894527388,0.16509358630325754,14599,189,13862,74088,102739,88688,14051,0.2848270407110239,0.15241117136999122,0.2758132583402128,0.9930078250759002,0.16628379915466235,34459,242,31491,172827,239019,207286,31733,5,0.013976106973364027,0.0200071738419994,0.03070886021654348,0.0063323162889590045,0.009538025386933857,0.008190130758787988,0.007267257305729758,0.010897184981074889,0.0011414694679679127,0.0055821438894499914,0.14602745250513316
27,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.07987977460351021,14.497494909634323,34.75471994291114,True,interpolate,1.1770017095762966,7.636872354410794,16.7,1,1,2.1947637070649555,0.33792328010890726,0.1620265891106065,0.30906661477011654,0.9834044708496119,0.20414169189585563,18051,307,13743,70636,102739,88688,14051,0.3419947748527793,0.17224592449296208,0.31043030990977344,0.9920499566285521,0.2066548429873587,42840,345,31388,164445,239019,207286,31733,5,0.01496643011170926,0.01971538222134607,0.030031376072505275,0.009989342747293475,0.011164458301300322,0.009984242425902175,0.007692795341553058,0.009768870820530075,0.0016951955882560281,0.007289223739492463,0.25294375222189464
28,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.10592999761685969,14.330278593760294,34.47241549410738,True,interpolate,0.12110903006143225,1.0478661999745777,16.7,1,1,2.012346541811815,0.8644210679317921,0.4763103832211176,0.789712779580171,0.9745146068328031,0.77697795253147,68881,1821,12229,19806,102739,88688,14051,0.8737424246237673,0.4883505243137126,0.8017197370996032,0.9749665054309815,0.7916007344593896,164083,4217,27516,43202,239019,207286,31733,5,0.011385573360339797,0.04782814603616864,0.015626832622319814,0.010213794375005325,0.019158130630737333,0.00644627633696301,0.016231895981071495,0.006966538541674853,0.0020006039332159374,0.00956158366905482,0.06374412280781586
29,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.07122611321399855,14.322225976551419,34.56123142680953,True,interpolate,0.1145110773953466,7.775235669344045,16.7,1,1,2.2198920105305704,0.2823582515337736,0.1475275408091749,0.27635364723780825,0.9878835395587547,0.16480074727918667,14571,178,13872,74116,102739,88688,14051,0.2843359693344755,0.15291753775338418,0.2756153883094522,0.9936632938646863,0.16593906182520204,34390,220,31513,172896,239019,207286,31733,5,0.014179801813439582,0.020070177396451023,0.031217979037331714,0.00628009365545866,0.009686658770263165,0.009210631390501208,0.007238142272574246,0.010745231950363076,0.0014646563257834052,0.006287346349119425,0.17275490422355422
